index,Unnamed: 0,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.input_task0,Input.input_task1,Input.input_task2,Input.input_task3,Input.input_task4,Input.input_task5,Input.input_task6,Input.input_task7,Input.input_task8,Input.input_task9,Input.input_task10,Input.input_task11,Input.input_task12,Input.input_task13,Input.input_task14,Input.input_task15,Input.input_task16,Input.input_task17,Input.input_task18,Input.input_task19,Input.input_task20,Input.input_task21,Input.input_task22,Input.input_task23,Input.input_task24,Input.input_task25,Input.input_task26,Input.input_task27,Input.input_task28,Input.input_task29,Input.input_task30,Input.input_task31,Input.input_task32,Input.input_task33,Input.input_task34,Input.input_task35,Input.input_task36,Input.input_task37,Input.input_task38,Input.input_task39,Input.input_task40,Input.input_task41,Input.input_task42,Input.input_task43,Input.input_task44,Input.input_task45,Input.input_task46,Input.input_task47,Input.input_task48,Input.input_task49,Answer.aapi.on,Answer.age,Answer.black.on,Answer.city,Answer.disability.dis-no,Answer.disability.dis-undisclosed,Answer.disability.dis-yes,Answer.gender.female,Answer.gender.gender-other,Answer.gender.male,Answer.gender.nb,Answer.hisp.on,Answer.household-members,Answer.income.income-1,Answer.income.income-2,Answer.income.income-3,Answer.income.income-4,Answer.income.income-5,Answer.income.income-6,Answer.income.income-7,Answer.native.on,Answer.occupation,Answer.q1.q1-no,Answer.q1.q1-yes,Answer.q2.q2-no,Answer.q2.q2-yes,Answer.q3.q3-no,Answer.q3.q3-yes,Answer.q4.q4-no,Answer.q4.q4-yes,Answer.q5.q5-no,Answer.q5.q5-yes,Answer.race-other.on,Answer.repeat-task10,Answer.repeat-task16,Answer.repeat-task25,Answer.repeat-task43,Answer.state,Answer.task0,Answer.task1,Answer.task10,Answer.task11,Answer.task12,Answer.task13,Answer.task14,Answer.task15,Answer.task16,Answer.task17,Answer.task18,Answer.task19,Answer.task2,Answer.task20,Answer.task21,Answer.task22,Answer.task23,Answer.task24,Answer.task25,Answer.task26,Answer.task27,Answer.task28,Answer.task29,Answer.task3,Answer.task30,Answer.task31,Answer.task32,Answer.task33,Answer.task34,Answer.task35,Answer.task36,Answer.task37,Answer.task38,Answer.task39,Answer.task4,Answer.task40,Answer.task41,Answer.task42,Answer.task43,Answer.task44,Answer.task45,Answer.task46,Answer.task47,Answer.task48,Answer.task49,Answer.task5,Answer.task6,Answer.task7,Answer.task8,Answer.task9,Answer.white.on,Approve,Reject,Answer.income.income-10,Answer.income.income-11,Answer.income.income-12,Answer.income.income-13,Answer.income.income-14,Answer.income.income-8,Answer.income.income-9
0,0,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3TU5ZICBRKIJ1VU7MGPPDXJ1G7F8QT,A14W0AXTJ3R19V,Approved,Fri Jan 28 00:59:51 PST 2022,Fri Jan 28 01:04:10 PST 2022,Mon Jan 31 01:04:10 PST 2022,Fri Jan 28 23:20:32 PST 2022,,,259,100% (2/2),100% (1/1),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,32,False,saratoga,True,False,False,True,False,False,False,False,5,False,False,True,False,False,False,False,False,baker,True,False,True,False,True,False,True,False,False,True,False,7,3,7,4,ny,4,5,8,3,2,7,7,8,3,8,6,3,3,3,5,9,3,9,9,8,2,2,10,8,3,10,2,5,6,8,3,7,9,8,3,5,3,8,4,6,3,6,8,7,9,7,4,9,9,3,True,x,,,,,,,,
1,1,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3STRJBFXO38GOCO0C9GN873FVFZKTV,A1BVQEM4JM0XH3,Approved,Fri Jan 28 04:44:00 PST 2022,Fri Jan 28 04:57:16 PST 2022,Mon Jan 31 04:57:16 PST 2022,Fri Jan 28 23:20:32 PST 2022,,,796,100% (1/1),100% (1/1),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,33,False,Orlando,True,False,False,True,False,False,False,False,2,False,False,False,True,False,False,False,False,Accountant,True,False,False,True,False,True,True,False,False,True,False,5,5,10,6,fl,10,10,4,4,5,5,10,10,3,5,10,2,10,9,10,10,6,8,10,10,9,8,10,10,5,8,2,10,10,8,7,9,10,7,10,7,10,10,6,9,5,8,7,8,6,10,10,10,10,10,True,x,,,,,,,,
2,2,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3AMYWKA6YI3TC5Y3EO0N4ESAVB7O6F,A1PUHCEBSOWETV,Approved,Fri Jan 28 01:01:04 PST 2022,Fri Jan 28 01:27:27 PST 2022,Mon Jan 31 01:27:27 PST 2022,Fri Jan 28 23:20:32 PST 2022,,,1583,100% (10/10),100% (10/10),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,25,False,Vegas,True,False,False,False,False,True,False,False,1,False,False,False,False,False,False,False,False,Vtuber,True,False,True,False,True,False,True,False,False,True,False,3,4,5,4,nv,3,3,3,4,2,4,3,4,5,5,4,7,3,7,4,3,6,2,4,6,4,4,4,3,5,3,4,7,3,2,3,3,3,2,3,3,3,6,5,3,6,2,3,2,5,4,3,4,3,3,True,x,,,,,,,,
3,3,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,39L1G8WVWX89JU4KPK4ELF3IS9V13Z,A1YSYI926BBOHW,Approved,Fri Jan 28 00:59:36 PST 2022,Fri Jan 28 01:04:52 PST 2022,Mon Jan 31 01:04:52 PST 2022,Fri Jan 28 23:20:33 PST 2022,,,316,100% (42/42),100% (7/7),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,True,38,False,san jose,True,False,False,False,False,True,False,False,5,False,False,False,False,False,True,False,False,software engineer,True,False,True,False,True,False,True,False,True,False,False,1,9,9,5,ca,1,1,1,1,7,2,10,8,9,1,3,1,1,3,1,5,6,8,9,10,2,1,10,8,4,3,1,9,7,1,1,10,8,7,10,8,10,10,5,10,10,10,7,10,10,6,2,10,10,10,True,x,,,,,,,,
4,4,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3R8YZBNQ9OZF1HPOCBXJZXN65OKQ71,A20NITCOBY4775,Approved,Fri Jan 28 02:32:16 PST 2022,Fri Jan 28 02:41:41 PST 2022,Mon Jan 31 02:41:41 PST 2022,Fri Jan 28 23:20:32 PST 2022,,,565,100% (4/4),100% (3/3),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,64,False,Haines,True,False,False,True,False,False,False,False,2,True,False,False,False,False,False,False,False,retired,True,False,True,False,True,False,True,False,False,True,False,10,5,5,10,or,3,3,10,1,1,5,10,1,5,5,10,1,5,5,5,1,5,10,10,10,1,5,10,3,5,5,1,10,10,1,4,5,10,1,10,1,1,10,10,10,5,10,1,5,10,10,1,1,10,10,True,x,,,,,,,,
5,5,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,30IQTZXKARNLS3QGDQ72EQ9CUCQX0S,A2R0YYUAWNT7UD,Approved,Fri Jan 28 01:05:21 PST 2022,Fri Jan 28 01:12:25 PST 2022,Mon Jan 31 01:12:25 PST 2022,Fri Jan 28 23:20:32 PST 2022,,,424,100% (2/2),100% (2/2),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,30,False,harrisburg,True,False,False,False,False,True,False,False,2,False,True,False,False,False,False,False,False,baker,True,False,True,False,True,False,True,False,False,True,False,2,3,4,4,pa,2,2,2,1,2,7,9,7,6,2,2,1,2,7,3,8,3,7,4,6,3,4,8,9,2,8,2,7,9,6,2,7,5,2,3,2,2,10,4,8,5,8,2,3,9,4,2,6,4,2,True,x,,,,,,,,
6,6,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3R6BYFZZPETCP756G8QNHXWG0FBFXC,A3G5IPGLH1IIZN,Approved,Fri Jan 28 05:17:50 PST 2022,Fri Jan 28 05:37:33 PST 2022,Mon Jan 31 05:37:33 PST 2022,Fri Jan 28 23:20:31 PST 2022,,,1183,100% (1/1),100% (1/1),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,57,False,Cowansville,True,False,False,True,False,False,False,False,2,False,False,False,False,True,False,False,False,restaurant manager,True,False,False,True,True,False,True,False,False,True,False,3,2,6,10,pa,1,1,3,1,1,10,10,10,2,8,10,1,1,10,5,3,1,7,6,10,10,8,10,10,3,8,1,10,3,7,1,5,7,1,10,2,10,10,10,6,10,7,5,3,10,3,2,8,10,10,True,x,,,,,,,,
7,7,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3BF51CHDT2RO6DQ18MPGB4LI6N60H3,AMG9Y1YLBTKIV,Approved,Fri Jan 28 05:29:22 PST 2022,Fri Jan 28 05:43:41 PST 2022,Mon Jan 31 05:43:41 PST 2022,Fri Jan 28 23:20:33 PST 2022,,,859,100% (4/4),100% (4/4),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,35,True,miami,True,False,False,False,False,True,False,False,1,False,False,False,False,False,False,False,False,salesman,True,False,True,False,True,False,True,False,False,True,False,1,1,10,1,fl,10,1,1,1,1,6,10,1,10,10,1,1,1,1,10,10,6,10,10,1,1,7,10,1,1,5,1,2,1,4,1,5,6,5,1,1,1,5,1,2,1,1,3,2,1,1,1,10,10,10,False,x,,,,,,,,
8,8,3IYI9285XYH14RIDHZGJUZ7ALK1CJC,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3PH3VY7DJSE35ORG7FO8I6YR3IOWZD,AZNIEFUIVB2H0,Approved,Fri Jan 28 03:57:10 PST 2022,Fri Jan 28 04:02:27 PST 2022,Mon Jan 31 04:02:27 PST 2022,Fri Jan 28 23:20:33 PST 2022,,,317,100% (4/4),100% (1/1),0% (0/0),closing curtains,turning on oven,freezing meat,mowing the lawn,covering boat,composting waste,lighting fireplace,picking up toys,cleaning patio furniture,emptying ashtray,shopping for drinks,playing snooker,bottling brandy,preparing food for company,bringing paper to recycling,hanging clothes on clothesline,packing recreational vehicle for trip,putting meal in fridge at work,hanging shades,playing racquetball,collecting wood,filling pepper,turning out all lights before sleep,packing art supplies into car,cleaning garden path,removing lint from dryer,cleaning lawnmowers,stuffing envelopes,wrapping food to put in freezer,scrubbing bathroom floor,baking sugar cookies,watering outdoor flowers,shopping for cigarettes,cleaning the pond,cleaning kitchen knives,planting vegetables,bottling wine,bringing laundry,making the bed,laying clothes out,putting shoes on rack,adding chemicals to hot tub,assembling furniture,stripping furniture,maintaining hiking trails,unpacking recreational vehicle for trip,recycling glass bottles,buying cleaning supplies,canning food,returning consumer goods,False,54,False,Waterford,True,False,False,False,False,True,False,False,1,False,False,False,False,False,False,False,False,customer service,True,False,False,True,True,False,True,False,False,True,False,2,2,10,2,mi,3,2,2,1,10,2,10,10,2,2,8,1,5,5,1,2,2,8,10,10,6,6,10,10,2,3,10,8,10,2,10,10,10,4,8,10,5,10,3,10,6,10,8,1,2,3,2,10,10,10,True,x,,,,,,,,
9,9,3LEG2HW4VL48174F1G0S3O6WGM72FQ,30FN99Y3E1GPFJDFH4QLSQJ4TTK74J,Rate how useful these activities are.,"What activities would you like done by a robot? Do NOT do multiple HITs from one batch. Do NOT do this survey if you are not willing to give anonymous demographic info (age, gender, race, etc.) Your data won't be sold and we will not know who you are.","survey, chores, activities, housework",$2.50,Fri Jan 28 00:58:57 PST 2022,9,BatchId:4658013;OriginalHitTemplateId:928390912;,3600,259200,Fri Feb 04 00:58:57 PST 2022,,,3U5JL4WY5RQ2RR8HWRU4QTZPBP1X45,A166A2M31CW2C7,Approved,Fri Jan 28 05:13:35 PST 2022,Fri Jan 28 05:29:27 PST 2022,Mon Jan 31 05:29:27 PST 2022,Fri Jan 28 23:20:33 PST 2022,,,952,100% (5/5),100% (5/5),0% (0/0),cleaning rainboots,carrying in groceries,treating clothes,setting clocks,donating books,setting up toy train track,cleaning vehicles,putting in a hot tub,cleaning boat,packing child's supplies into car,stacking papers at work,shampooing carpet,hooking up satellite dish,putting food in fridge,chopping wood,packing cleaning suppies into car,dyeing Easter eggs,shopping for child's clothes,shooting pool,buying clothes,putting roast in oven,cleaning fishing gear,pouring water in a glass,cleaning fish,carrying water,washing vegetables,clearing table after breakfast,opening windows,cleaning up plates and food,throwing darts,trimming branches,picking fruit and vegetables,removing ice from walkways,putting clean laundry away,fixing mailbox,collecting children's toys,recycling newspapers,shopping for toys for child,putting up tent,cleaning mushrooms,putting away purchased clothes,chlorinating the pool,buying books,hooking up trailer to car,putting clothes in storage,rearranging kitchen furniture,bringing glass to recycling,buying gardening supplies,mailing letters,disposing of trash for adult,False,33,False,memphis,True,False,False,False,False,True,False,False,2,True,False,False,False,False,False,False,False,warehouse,True,False,False,True,True,False,True,False,False,True,False,4,4,9,8,tn,8,6,5,9,9,6,10,5,4,4,2,4,8,6,8,4,10,5,9,8,4,9,2,6,9,9,10,9,7,4,5,3,8,9,5,5,9,5,8,6,6,6,5,6,9,7,9,9,9,4,True,x,,,,,,,,
